phase,variant,detector,timing,htf_filter,exit_kind,trades,wr,pf,avg_pnl_pct,total_pnl_pct,median_winner_pnl_pct,median_loser_pnl_pct,tp_count,sl_count,trail_count,timeout_count,run_id
1,combined_wait_confirm_htf0_fixed_15,combined,wait_confirm,False,fixed_15,1345,0.0795539033457249,0.4929361179361186,-0.012275092936802946,-16.509999999999962,0.15000000000000002,-0.05499999999999994,107,592,0,646,backtest_short_grid_v1_cd85b6f3_20260423T062159Z__combined_wait_confirm_htf0_fixed_15
1,vol_spike_wait_retest_htf1_fixed_15,vol_spike,wait_retest,True,fixed_15,2283,0.0718353044240035,0.486166007905139,-0.011388523872098091,-25.999999999999943,0.15000000000000002,-0.05499999999999994,164,920,0,1199,backtest_short_grid_v1_cd85b6f3_20260423T062113Z__vol_spike_wait_retest_htf1_fixed_15
1,vol_spike_immediate_htf1_fixed_15,vol_spike,immediate,True,fixed_15,2303,0.07121146330872774,0.4830159041822116,-0.011432913590968274,-26.329999999999934,0.15000000000000002,-0.05499999999999994,164,926,0,1213,backtest_short_grid_v1_cd85b6f3_20260423T062104Z__vol_spike_immediate_htf1_fixed_15
1,combined_immediate_htf0_fixed_15,combined,immediate,False,fixed_15,2020,0.07623762376237624,0.47945205479452124,-0.012415841584158387,-25.07999999999994,0.15000000000000002,-0.054999999999999945,154,876,0,990,backtest_short_grid_v1_cd85b6f3_20260423T062141Z__combined_immediate_htf0_fixed_15
1,vol_spike_immediate_htf0_fixed_15,vol_spike,immediate,False,fixed_15,2866,0.07222609909281229,0.4604775322556731,-0.012693649685973456,-36.379999999999924,0.15000000000000002,-0.05499999999999994,207,1226,0,1433,backtest_short_grid_v1_cd85b6f3_20260423T062109Z__vol_spike_immediate_htf0_fixed_15
1,vol_spike_wait_next_surge_htf0_fixed_15,vol_spike,wait_next_surge,False,fixed_15,2090,0.07511961722488038,0.4545454545454551,-0.013521531100478441,-28.25999999999994,0.15000000000000002,-0.05499999999999994,157,942,0,991,backtest_short_grid_v1_cd85b6f3_20260423T062133Z__vol_spike_wait_next_surge_htf0_fixed_15
1,vol_spike_wait_confirm_htf0_fixed_15,vol_spike,wait_confirm,False,fixed_15,2478,0.07183212267958031,0.44991153424888425,-0.013173930589184797,-32.644999999999925,0.15000000000000002,-0.05499999999999994,178,1079,0,1221,backtest_short_grid_v1_cd85b6f3_20260423T062126Z__vol_spike_wait_confirm_htf0_fixed_15
1,combined_wait_retest_htf0_fixed_15,combined,wait_retest,False,fixed_15,1969,0.06957846622651091,0.4448051948051954,-0.013026917216861323,-25.649999999999945,0.15000000000000002,-0.05499999999999994,137,840,0,992,backtest_short_grid_v1_cd85b6f3_20260423T062150Z__combined_wait_retest_htf0_fixed_15
2,combined_wait_next_surge_htf1_fixed_20,combined,wait_next_surge,True,fixed_20,970,0.050515463917525774,0.4399551066217737,-0.012860824742268018,-12.474999999999977,0.19999999999999996,-0.05499999999999994,49,405,0,516,backtest_short_grid_v1_cd85b6f3_20260423T062249Z__combined_wait_next_surge_htf1_fixed_20
1,vol_spike_wait_retest_htf0_fixed_15,vol_spike,wait_retest,False,fixed_15,2842,0.06790992258972554,0.4364540931705116,-0.013152709359605885,-37.379999999999924,0.15000000000000002,-0.05499999999999994,193,1206,0,1443,backtest_short_grid_v1_cd85b6f3_20260423T062119Z__vol_spike_wait_retest_htf0_fixed_15
1,atr_down_wait_retest_htf1_fixed_15,atr_down,wait_retest,True,fixed_15,2469,0.04860267314702309,0.4250295159386073,-0.009862292426083415,-24.34999999999995,0.15000000000000002,-0.05499999999999994,120,770,0,1579,backtest_short_grid_v1_cd85b6f3_20260423T062036Z__atr_down_wait_retest_htf1_fixed_15
2,atr_down_wait_next_surge_htf1_fixed_20,atr_down,wait_next_surge,True,fixed_20,1166,0.04373927958833619,0.4005497741998825,-0.013091766723842171,-15.264999999999972,0.19999999999999996,-0.05499999999999994,51,463,0,652,backtest_short_grid_v1_cd85b6f3_20260423T062216Z__atr_down_wait_next_surge_htf1_fixed_20
2,combined_immediate_htf1_fixed_20,combined,immediate,True,fixed_20,1522,0.040735873850197106,0.37827943868212355,-0.0133902759526938,-20.379999999999963,0.19999999999999998,-0.05499999999999994,62,596,0,864,backtest_short_grid_v1_cd85b6f3_20260423T062232Z__combined_immediate_htf1_fixed_20
1,atr_down_wait_confirm_htf0_fixed_15,atr_down,wait_confirm,False,fixed_15,3087,0.050858438613540655,0.371363242135142,-0.012913832199546461,-39.864999999999924,0.15000000000000002,-0.05499999999999994,157,1153,0,1777,backtest_short_grid_v1_cd85b6f3_20260423T062053Z__atr_down_wait_confirm_htf0_fixed_15
1,atr_down_immediate_htf0_fixed_15,atr_down,immediate,False,fixed_15,3306,0.04869933454325469,0.3575658868818483,-0.013124621899576501,-43.389999999999915,0.15000000000000002,-0.05499999999999994,161,1228,0,1917,backtest_short_grid_v1_cd85b6f3_20260423T062032Z__atr_down_immediate_htf0_fixed_15
1,atr_down_wait_retest_htf0_fixed_15,atr_down,wait_retest,False,fixed_15,3263,0.04167943610174686,0.30729833546734997,-0.014092859331903133,-45.98499999999992,0.15000000000000002,-0.05499999999999993,136,1207,0,1920,backtest_short_grid_v1_cd85b6f3_20260423T062044Z__atr_down_wait_retest_htf0_fixed_15
