side,tier,threshold,full_n,full_wr,full_pf,full_avg_win,full_avg_loss,full_sum_pnl_pct,oos_n,oos_wr,oos_pf,oos_avg_win,oos_avg_loss,oos_sum_pnl_pct
long,26-50,0.75,259,98.84169884169884,626.1101795721814,24.966256483231337,-3.402682077497613,6381.153613474729,11,72.72727272727273,18.80571325209894,23.996198789053658,-3.402682077497613,181.76154407993644
long,26-50,0.8,195,100.0,inf,28.48600991004523,0.0,5554.77193245882,6,100.0,inf,30.423259571118372,0.0,182.53955742671022
long,26-50,0.85,155,100.0,inf,30.62266435930564,0.0,4746.512975692374,6,100.0,inf,30.423259571118372,0.0,182.53955742671022
long,26-50,0.9,113,100.0,inf,36.942286863144034,0.0,4174.478415535275,6,100.0,inf,30.423259571118372,0.0,182.53955742671022
long,26-50,0.93,88,100.0,inf,38.50919974749614,0.0,3388.8095777796607,6,100.0,inf,30.423259571118372,0.0,182.53955742671022
long,51-100,0.0,6108,48.47740667976424,2.3161401826093293,10.166670194719654,-4.130052369785544,17106.23563884979,460,41.95652173913044,1.9371221659322395,9.38467726647562,-3.501937404982129,876.2254252995664
long,51-100,0.5,2789,94.11975618501255,49.95351643829107,10.630755692681543,-3.40630499905161,27347.09967344459,175,70.28571428571428,9.351112736159376,11.038701492243815,-2.792263917705772,1212.562559825289
long,51-100,0.6,2345,96.80170575692964,106.9787119633585,11.157470866253313,-3.1566976770817705,25090.706540613883,126,77.77777777777779,16.706423936804665,11.734240367396351,-2.4583262965935733,1081.1224197002225
long,51-100,0.7,1824,98.30043859649122,174.8584034831165,11.784199568607905,-3.897913306152847,21008.234514023236,87,88.50574712643679,33.28271830653722,12.763885355310725,-2.9529414133396834,953.2897582255288
long,51-100,0.75,1542,99.0272373540856,351.46331696562066,12.305665163523111,-3.5642886559600484,18737.286374860385,77,92.20779220779221,54.52053019533452,13.035848650034113,-2.8293478035900916,908.5691673308813
long,51-100,0.8,1280,99.453125,773.8696126527684,12.878594834642248,-3.0264329059444157,16373.26619415797,63,96.82539682539682,269.94942157941057,13.857732598085379,-1.565703833587473,842.1902808160332
long,51-100,0.85,1002,99.50099800399201,877.2052453098531,13.628074596401,-3.0978360982810638,13571.701192120388,56,96.42857142857143,256.53992668754495,14.876501728997718,-1.565703833587473,800.1996856987021
long,51-100,0.9,723,99.72337482710927,1686.1137364659419,15.263111437531979,-3.2633336377195343,10998.176679185117,39,97.43589743589743,376.17438722225654,17.98448363577822,-1.816738197424883,681.5936399621474
long,51-100,0.93,504,99.60317460317461,1321.0677686654692,17.175637000769377,-3.2633336377195343,8615.643107110789,27,96.29629629629629,325.07213254424283,22.714267696595787,-1.816738197424883,588.7542219140656
long,101-200,0.0,4858,46.521202140798685,2.0453018232719242,8.491750454492022,-3.611678717829059,9808.214718232077,478,37.238493723849366,1.3230130325418032,7.457270159379198,-3.3443714101069157,324.0826653374223
long,101-200,0.5,2186,92.31473010064045,34.76946833289402,8.766076645519323,-3.0284408376160896,17181.16460993849,164,65.85365853658537,5.974226706716463,9.250743665375873,-2.9862810371800586,831.848577778511
long,101-200,0.6,1804,96.45232815964523,77.12350824946657,9.216625855516163,-3.249035490402225,15828.99071721238,107,78.50467289719626,15.11411377313385,10.349399519797442,-2.5008285308171065,811.8305034541916
long,101-200,0.7,1417,98.23570924488357,142.00157008882596,9.997214622244572,-3.9199912354376143,13818.122973278509,75,89.33333333333333,37.74453817205305,11.147146259404698,-2.4734002439494236,727.0715974285193
long,101-200,0.75,1214,99.01153212520593,231.7352769816973,10.576997087083132,-4.571865601799755,12658.688111452328,63,95.23809523809523,252.9374852087743,11.940638954696151,-0.9441573236833886,713.6058653107189
long,101-200,0.8,1016,99.60629921259843,463.6035034807894,11.2531164458827,-6.141106439947983,11363.5894174735,52,98.07692307692307,1476.7142592365049,12.71638244716555,-0.43917467495759854,648.0963301304854
long,101-200,0.85,800,99.875,21932.528231630422,12.056385591519305,-0.43921302578019394,9632.612874598144,42,100.0,inf,14.376699030324039,0.0,603.8213592736097
long,101-200,0.9,558,100.0,inf,12.937847250321427,0.0,7219.318765679357,28,100.0,inf,14.793723590567057,0.0,414.2242605358776
long,101-200,0.93,364,100.0,inf,14.43585917971712,0.0,5254.652741417031,22,100.0,inf,17.25741503577408,0.0,379.66313078702973
short,top25,0.0,2628,50.57077625570776,2.4292446802012413,6.529000285396415,-2.74973763072468,5105.132196980476,606,47.524752475247524,2.1371418419321753,6.327811339624249,-2.6815478005503897,969.67746523676
short,top25,0.5,1233,85.88807785888078,16.65899567604298,6.900419329811301,-2.521003098319552,6868.889531162568,238,60.08403361344538,4.064355549771064,7.044868787767037,-2.6091175608456783,759.5500683703467
short,top25,0.6,990,91.81818181818183,31.579422728559837,7.420707234751378,-2.637059782575384,6531.821034000396,143,69.93006993006993,7.658391400562207,8.124960543749102,-2.4672618687390635,706.4037940191305
short,top25,0.7,750,95.19999999999999,63.52026934211658,8.12299322260301,-2.536293279560656,5708.510602874367,90,78.88888888888889,12.63597989318065,9.168673506956718,-2.711454552780433,599.4581824910989
short,top25,0.75,632,97.15189873417721,102.82226239511162,8.596625724237313,-2.851915999798466,5226.993706685338,76,90.78947368421053,32.214420163703295,9.221444854451004,-2.8216276691518494,616.5283012730565
short,top25,0.8,509,97.64243614931237,116.66934334370916,9.270585794947781,-3.290982452373512,4567.989350660566,65,95.38461538461539,46.42037843023358,9.947037274695186,-4.428488319757962,603.4308460718277
short,top25,0.85,413,98.54721549636804,137.94142478667757,9.883952945914114,-4.860479554042764,3993.605971662788,60,98.33333333333333,62.502721549371515,10.213849800987298,-9.641454377026404,592.9756838812241
short,top25,0.9,307,99.3485342019544,523.3155557178229,11.270838213641577,-3.2844481858038566,3431.0367587890723,45,100.0,inf,11.445980480131032,0.0,515.0691216058965
short,top25,0.93,236,99.15254237288136,430.4227862632926,12.08291743137703,-3.2844481858038566,2820.8337825706176,31,100.0,inf,12.368095084261462,0.0,383.4109476121053
short,26-50,0.0,2830,47.6678445229682,2.529185658247123,8.963323969676656,-3.2280873242813293,7310.726707833163,621,46.05475040257649,2.135596346860507,7.6592408760844295,-3.0618773118266573,1164.8139910982163
short,26-50,0.5,1171,85.90947907771135,20.75514009010277,10.074785915427801,-2.9595398616033273,9646.910553755819,239,58.995815899581594,4.520592389362284,9.724314750546878,-3.094971789433303,1067.821144462646
short,26-50,0.6,895,92.62569832402234,47.23968944938407,10.868489320930285,-2.889832986315051,8819.248669954413,138,68.84057971014492,8.209729512633947,11.619733830819209,-3.126961117971041,969.4153858550701
short,26-50,0.7,648,96.75925925925925,124.65578504930915,12.27820869531524,-2.940836086354361,7636.679294149212,92,80.43478260869566,16.424821433895744,12.661383043435137,-3.1691274527027775,879.89805106555
short,26-50,0.75,540,98.33333333333333,242.03921993933838,13.112311068684468,-3.196285103076582,6933.870611543764,74,87.83783783783784,29.577256534458304,13.0897861547488,-3.196285103076582,822.0695341309829
short,26-50,0.8,456,98.68421052631578,496.24506146785734,13.93901677595713,-2.1066733744502946,6259.917508934008,62,90.32258064516128,60.964866196308165,13.76068504207363,-2.1066733744502946,757.9583221094215
short,26-50,0.85,382,99.47643979057592,4555.199784377339,14.718599298372068,-0.613921232671677,5591.839890916043,52,96.15384615384616,538.1866310435586,13.216167997507142,-0.613921232671677,659.5805574100136
short,26-50,0.9,310,99.67741935483872,5522.290611034873,15.69154247179812,-0.8780209093119384,4847.808602876307,44,97.72727272727273,675.4015207055381,13.79108505489634,-0.8780209093119384,592.1386364512307
short,26-50,0.93,266,100.0,inf,16.219355977511515,0.0,4314.348690018063,39,100.0,inf,14.153382143442908,0.0,551.9819035942734
short,51-100,0.0,12539,50.29906691123694,2.60307948144826,8.045343753012371,-3.127897855691713,31248.923613578267,2692,49.14561664190193,2.052006311144618,6.085078181056043,-2.865786723160977,4127.2964095297675
short,51-100,0.5,5561,87.61014206078043,19.626063093334334,8.917941321153362,-3.213064749164523,41234.40850448482,959,61.93952033368092,3.6707466168784766,7.121040724803053,-3.1570585974410585,3077.5718024670277
short,51-100,0.6,4459,92.91320923973984,35.059527413787464,9.513534095214563,-3.5576537009493454,38290.353186973945,625,70.72,4.799149825254687,7.42675102083111,-3.737711147202062,2598.622811269373
short,51-100,0.7,3472,96.25576036866359,86.26081976588118,10.433073129274954,-3.1092938202882516,34463.12220139942,430,82.32558139534883,10.486645302495619,8.184715387698063,-3.635437418469444,2621.096003441436
short,51-100,0.75,2945,96.97792869269949,112.10657462700651,11.086817635568842,-3.1735402976967886,31381.5060806896,367,86.37602179836512,14.191500094303123,8.596740725035982,-3.8405620149068906,2533.1387090910616
short,51-100,0.8,2461,97.80577001219017,183.9331926481304,11.913025108801754,-2.8869833443378297,28518.75433629158,315,91.11111111111111,27.230770286886056,8.946822480490074,-3.3676950544872035,2473.442590375009
short,51-100,0.85,1999,98.24912456228114,318.6268212569857,13.071038792410627,-2.301978227966774,25590.950950315633,251,95.2191235059761,98.55623848247964,9.465593268026993,-1.9128476169984043,2239.3226196544697
short,51-100,0.9,1526,98.23066841415465,422.91150167077825,14.512646927393897,-1.9051755603905616,21703.018004032903,198,95.95959595959596,349.96774776206627,9.205361107163682,-0.624707069989136,1744.0209538011864
short,51-100,0.93,1255,98.32669322709164,521.2691376707786,15.393724469929396,-1.7353119643240722,18959.41444464207,163,95.70552147239265,344.48691407918466,9.74501341906989,-0.6304291277604901,1515.8090894805796
short,101-200,0.0,11411,49.76776794321269,2.56576500625553,7.4791155143192025,-2.888012377810406,25919.810056209506,2546,48.507462686567166,1.928192500049363,5.4913739976949625,-2.6828407827315086,3264.64262099227
short,101-200,0.5,4901,86.32932054682718,15.845038759082835,8.107406491031268,-3.2311481050293627,32137.56763318363,851,62.04465334900118,2.8750590978526134,6.136027428045249,-3.4887666025741435,2112.950869376443
short,101-200,0.6,3918,91.96018376722817,29.712517428266725,8.485938628637708,-3.2667368038848656,29545.81478575793,564,72.3404255319149,4.435679864709508,6.591482601291503,-3.886498285223331,2083.031168832093
short,101-200,0.7,2968,95.45148247978436,60.396583721648724,9.408019658780479,-3.2688775192197506,26211.621228230422,391,82.09718670076727,7.9469206620380115,6.880887795148485,-3.970567569818599,1930.825252355362
short,101-200,0.75,2551,96.3935711485692,81.73749788798926,9.94974746094259,-3.2535794781338128,24167.09969446952,339,86.13569321533923,11.13944511554598,6.976182143090122,-3.8908030410825654,1854.1774428514352
short,101-200,0.8,2091,96.987087517934,128.01660770188678,10.741654222249693,-2.701047705410807,21613.908757281497,282,91.13475177304964,23.960032088799036,7.36731635017248,-3.1609311623242182,1814.3770229362215
short,101-200,0.85,1724,97.15777262180974,151.49981380215198,11.514005552974336,-2.597963629589632,19158.65908338212,233,93.56223175965665,39.248862033934365,7.787795990355175,-2.8837176212133593,1654.4837615792276
short,101-200,0.9,1320,96.74242424242424,162.26025076161116,12.67400645551595,-2.31965940844124,16084.960889130898,190,94.21052631578948,49.419588335362135,7.956797232761187,-2.619989273372102,1395.4468226571591
short,101-200,0.93,1061,96.51272384542884,161.809671016749,13.311969768160047,-2.2768587043840034,13547.213270533683,144,93.75,45.554924010988174,7.976912651272768,-2.6265808223108915,1053.2439805210256
