symbol,months,first_month,last_month
CELRUSDT,36,2023-04,2026-03
RVNUSDT,36,2023-04,2026-03
SKLUSDT,36,2023-04,2026-03
COTIUSDT,36,2023-04,2026-03
RSRUSDT,36,2023-04,2026-03
STXUSDT,36,2023-04,2026-03
MASKUSDT,36,2023-04,2026-03
DYDXUSDT,36,2023-04,2026-03
GMXUSDT,36,2023-04,2026-03
LDOUSDT,36,2023-04,2026-03
RNDRUSDT,16,2023-04,2024-07
FETUSDT,36,2023-04,2026-03
AGIXUSDT,16,2023-04,2024-07
OCEANUSDT,16,2023-04,2024-07
CFXUSDT,36,2023-04,2026-03
ACHUSDT,36,2023-04,2026-03
WOOUSDT,36,2023-04,2026-03
MAGICUSDT,36,2023-04,2026-03
PENDLEUSDT,33,2023-07,2026-03
RDNTUSDT,36,2023-04,2026-03
JOEUSDT,36,2023-04,2026-03
HOOKUSDT,36,2023-04,2026-03
HIGHUSDT,36,2023-04,2026-03
SSVUSDT,36,2023-04,2026-03
BLURUSDT,29,2023-11,2026-03
IDUSDT,36,2023-04,2026-03
LQTYUSDT,36,2023-04,2026-03
LEVERUSDT,28,2023-04,2025-07
TLMUSDT,36,2023-04,2026-03
AMBUSDT,23,2023-04,2025-02
MINAUSDT,36,2023-04,2026-03
OGNUSDT,36,2023-04,2026-03
PHBUSDT,36,2023-04,2026-03
BICOUSDT,36,2023-04,2026-03
GALUSDT,16,2023-04,2024-07
XVSUSDT,36,2023-04,2026-03
DARUSDT,22,2023-04,2025-01
GMTUSDT,36,2023-04,2026-03
STGUSDT,36,2023-04,2026-03
EDUUSDT,36,2023-04,2026-03
FLMUSDT,32,2023-04,2025-11
OMUSDT,36,2023-04,2026-03
BAKEUSDT,30,2023-04,2025-09
ALPACAUSDT,26,2023-04,2025-05
REEFUSDT,17,2023-04,2024-08
DUSKUSDT,36,2023-04,2026-03
LITUSDT,23,2023-04,2025-02
TOMOUSDT,8,2023-04,2023-11
CTKUSDT,36,2023-04,2026-03
BELUSDT,36,2023-04,2026-03
MDXUSDT,16,2023-04,2024-07
C98USDT,36,2023-04,2026-03
JASMYUSDT,36,2023-04,2026-03
ARPAUSDT,36,2023-04,2026-03
CTSIUSDT,36,2023-04,2026-03
BANDUSDT,36,2023-04,2026-03
KLAYUSDT,19,2023-04,2024-10
STORJUSDT,36,2023-04,2026-03
CELOUSDT,36,2023-04,2026-03
CKBUSDT,36,2023-04,2026-03
PERPUSDT,32,2023-04,2025-11
TRUUSDT,36,2023-04,2026-03
LPTUSDT,36,2023-04,2026-03
AUDIOUSDT,36,2023-04,2026-03
ROSEUSDT,36,2023-04,2026-03
API3USDT,36,2023-04,2026-03
NMRUSDT,36,2023-04,2026-03
POWRUSDT,36,2023-04,2026-03
SLPUSDT,36,2023-04,2026-03
RENUSDT,21,2023-04,2024-12
SUPERUSDT,36,2023-04,2026-03
NKNUSDT,35,2023-04,2026-02
DGBUSDT,36,2023-04,2026-03
WAXPUSDT,36,2023-04,2026-03
SCUSDT,36,2023-04,2026-03
MTLUSDT,36,2023-04,2026-03
SYSUSDT,36,2023-04,2026-03
DENTUSDT,36,2023-04,2026-03
HOTUSDT,36,2023-04,2026-03
PEOPLEUSDT,36,2023-04,2026-03
LSKUSDT,36,2023-04,2026-03
ARDRUSDT,36,2023-04,2026-03
MDTUSDT,36,2023-04,2026-03
POLYXUSDT,36,2023-04,2026-03
GLMRUSDT,36,2023-04,2026-03
AGLDUSDT,36,2023-04,2026-03
RADUSDT,36,2023-04,2026-03
BETAUSDT,25,2023-04,2025-04
RAREUSDT,36,2023-04,2026-03
SUNUSDT,36,2023-04,2026-03
PORTOUSDT,36,2023-04,2026-03
LAZIOUSDT,36,2023-04,2026-03
ATAUSDT,36,2023-04,2026-03
FORUSDT,17,2023-04,2024-08
VOXELUSDT,33,2023-04,2025-12
ALPINEUSDT,36,2023-04,2026-03
ACMUSDT,36,2023-04,2026-03
CITYUSDT,36,2023-04,2026-03
TFUELUSDT,36,2023-04,2026-03
PUNDIXUSDT,36,2023-04,2026-03
LOKAUSDT,28,2023-04,2025-07
XECUSDT,36,2023-04,2026-03
RIFUSDT,36,2023-04,2026-03
PROSUSDT,25,2023-04,2025-04
VIBUSDT,26,2023-04,2025-05
WINGUSDT,26,2023-04,2025-05
FTTUSDT,31,2023-09,2026-03
LUNAUSDT,36,2023-04,2026-03
USTCUSDT,36,2023-04,2026-03
SHIBUSDT,36,2023-04,2026-03
PEPEUSDT,35,2023-05,2026-03
FLOKIUSDT,35,2023-05,2026-03
BONKUSDT,28,2023-12,2026-03
WIFUSDT,25,2024-03,2026-03
MEMEUSDT,29,2023-11,2026-03
TURBOUSDT,19,2024-09,2026-03
ORDIUSDT,29,2023-11,2026-03
TIAUSDT,30,2023-10,2026-03
SEIUSDT,32,2023-08,2026-03
JUPUSDT,27,2024-01,2026-03
WUSDT,24,2024-04,2026-03
STRKUSDT,26,2024-02,2026-03
PYTHUSDT,26,2024-02,2026-03
JTOUSDT,28,2023-12,2026-03
ALTUSDT,27,2024-01,2026-03
MANTAUSDT,27,2024-01,2026-03
PIXELUSDT,26,2024-02,2026-03
PORTALUSDT,26,2024-02,2026-03
ACEUSDT,28,2023-12,2026-03
