direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
long,5.633802816892827e-05,130,ARBUSDT,1683971100,1684088100,1.1715,1.1715659999999999,trail_stop,30.0,-0.0011436619718310716,-0.03430985915493215
long,0.01638537271448654,1,FLOKIUSDT,1683971100,1683972000,3.555e-05,3.613249999999999e-05,trail_stop,30.0,0.015185372714486542,0.45556118143459623
long,0.0,192,CRVUSDT,1683972000,1684144800,0.822,0.822,timeout,30.0,-0.0012,-0.036
long,-0.05500000000000006,50,SUIUSDT,1683981900,1684026900,1.1349,1.0724805,stop_loss,30.0,-0.05620000000000006,-1.686000000000002
long,0.022614498284941293,94,APTUSDT,1684003500,1684088100,8.2796,8.466839,trail_stop,30.0,0.021414498284941293,0.6424349485482388
long,0.01916750587445447,15,GALAUSDT,1684071900,1684085400,0.02979,0.030361,trail_stop,30.0,0.01796750587445447,0.5390251762336341
long,0.004491119158475605,14,APTUSDT,1684138500,1684151100,8.6985,8.737566,trail_stop,30.0,0.0032911191584756054,0.09873357475426817
long,0.0,192,FETUSDT,1684141200,1684314000,0.2516,0.2516,timeout,30.0,-0.0012,-0.036
long,0.0458684149988497,166,LTCUSDT,1684161000,1684310400,86.94,90.92779999999999,trail_stop,30.0,0.0446684149988497,1.340052449965491
long,0.019496355202120758,71,HIGHUSDT,1684170000,1684233900,1.509,1.5384200000000001,trail_stop,30.0,0.018296355202120758,0.5488906560636228
long,-0.05500000000000012,70,SUIUSDT,1684194300,1684257300,1.2096,1.1430719999999999,stop_loss,30.0,-0.05620000000000012,-1.6860000000000035
long,0.07507827175954909,23,HIGHUSDT,1684280700,1684301400,1.597,1.7168999999999999,trail_stop,30.0,0.07387827175954909,2.2163481527864723
long,0.0037288883982778145,29,LTCUSDT,1684284300,1684310400,90.59,90.92779999999999,trail_stop,30.0,0.0025288883982778143,0.07586665194833443
long,0.04926236749116614,40,SUIUSDT,1684338300,1684374300,1.132,1.187765,trail_stop,30.0,0.04806236749116614,1.4418710247349842
long,-7.120253164564083e-05,23,FETUSDT,1684353600,1684374300,0.2528,0.252782,trail_stop,30.0,-0.0012712025316456406,-0.03813607594936922
long,0.035851607089215816,19,FLOKIUSDT,1684368900,1684386000,3.329e-05,3.4483499999999996e-05,trail_stop,30.0,0.034651607089215816,1.0395482126764746
long,0.040197368421052586,8,PEPEUSDT,1684395000,1684402200,1.52e-06,1.5811e-06,trail_stop,30.0,0.038997368421052586,1.1699210526315775
long,0.003082641014429311,22,XRPUSDT,1684404900,1684424700,0.4574,0.45880999999999994,trail_stop,30.0,0.0018826410144293113,0.056479230432879335
long,-0.004457155191021021,3,XRPUSDT,1684507500,1684510200,0.4633,0.46123499999999995,trail_stop,30.0,-0.005657155191021021,-0.16971465573063063
long,0.03806350450803605,6,FETUSDT,1684510200,1684515600,0.2551,0.26481,trail_stop,30.0,0.03686350450803605,1.1059051352410814
long,0.02038961038961027,3,PEPEUSDT,1684571400,1684574100,1.54e-06,1.5714e-06,trail_stop,30.0,0.01918961038961027,0.5756883116883081
long,0.012946564885496016,6,FLOKIUSDT,1684603800,1684609200,3.275e-05,3.3174e-05,trail_stop,30.0,0.011746564885496016,0.35239694656488046
long,0.017274368231047072,4,HIGHUSDT,1684677600,1684681200,1.662,1.6907100000000002,trail_stop,30.0,0.016074368231047072,0.48223104693141217
long,0.0,192,TRXUSDT,1684678500,1684851300,0.07536,0.07536,timeout,30.0,-0.0012,-0.036
long,-0.008004535147392362,11,SHIBUSDT,1684748700,1684758600,8.82e-06,8.7494e-06,trail_stop,30.0,-0.009204535147392362,-0.27613605442177086
long,-0.004834318006678641,149,TRXUSDT,1684764900,1684899000,0.07786,0.0774836,trail_stop,30.0,-0.006034318006678641,-0.18102954020035922
long,0.04335875436924044,115,FLOKIUSDT,1684811700,1684915200,3.147e-05,3.28345e-05,trail_stop,30.0,0.04215875436924044,1.2647626310772133
long,0.026851963746223586,6,HIGHUSDT,1684811700,1684817100,1.655,1.69944,trail_stop,30.0,0.025651963746223586,0.7695589123867076
long,0.006835443037974662,3,PEPEUSDT,1684811700,1684814400,1.58e-06,1.5907999999999999e-06,trail_stop,30.0,0.005635443037974662,0.16906329113923985
long,-0.055000000000000035,101,CRVUSDT,1684845000,1684935900,0.877,0.828765,stop_loss,30.0,-0.056200000000000035,-1.686000000000001
long,-0.05499999999999997,56,APTUSDT,1684885500,1684935900,8.5264,8.057448,stop_loss,30.0,-0.05619999999999997,-1.685999999999999
long,0.041595985755908234,1,FLOKIUSDT,1684915200,1684916100,3.089e-05,3.21749e-05,trail_stop,30.0,0.040395985755908234,1.211879572677247
long,0.07390973355084288,1,HIGHUSDT,1684944900,1684945800,1.839,1.97492,trail_stop,30.0,0.07270973355084287,2.181292006525286
