pnl_pct,exit_reason,bars_held,entry_bar,entry_price,exit_price,direction,symbol,signal,entry_time
0.004491611743559023,timeout,672,18403,1.669,1.659,short,LAZIOUSDT,baseline,2023-10-09 16:45:00+00:00
-0.051500000000000004,stop_loss,156,19839,1.678,1.7619,short,LAZIOUSDT,baseline,2023-10-24 15:45:00+00:00
-0.022001138952164028,timeout,672,20086,1.756,1.792,short,LAZIOUSDT,baseline,2023-10-27 05:30:00+00:00
-0.051500000000000004,stop_loss,117,21377,1.836,1.9278000000000002,short,LAZIOUSDT,baseline,2023-11-09 16:15:00+00:00
0.07561198428290768,timeout,672,21702,2.036,1.879,short,LAZIOUSDT,baseline,2023-11-13 01:30:00+00:00
0.024007548152004128,timeout,672,21821,1.921,1.872,short,LAZIOUSDT,baseline,2023-11-14 07:15:00+00:00
0.010878902045209974,timeout,672,22230,1.858,1.835,short,LAZIOUSDT,baseline,2023-11-18 13:30:00+00:00
-0.051500000000000004,stop_loss,450,22537,1.782,1.8711000000000002,short,LAZIOUSDT,baseline,2023-11-21 18:15:00+00:00
-0.051500000000000004,stop_loss,48,23068,1.767,1.85535,short,LAZIOUSDT,baseline,2023-11-27 07:00:00+00:00
-0.051500000000000004,stop_loss,168,24109,1.913,2.0086500000000003,short,LAZIOUSDT,baseline,2023-12-08 03:15:00+00:00
0.07378479445269942,timeout,672,24373,2.019,1.867,short,LAZIOUSDT,baseline,2023-12-10 21:15:00+00:00
-0.051500000000000004,stop_loss,62,24592,1.846,1.9383000000000001,short,LAZIOUSDT,baseline,2023-12-13 04:00:00+00:00
-0.051500000000000004,stop_loss,214,25063,1.83,1.9215000000000002,short,LAZIOUSDT,baseline,2023-12-18 01:45:00+00:00
-0.051500000000000004,stop_loss,36,25366,2.05,2.1525,short,LAZIOUSDT,baseline,2023-12-21 05:30:00+00:00
-0.051500000000000004,stop_loss,217,25928,2.0,2.1,short,LAZIOUSDT,baseline,2023-12-27 02:00:00+00:00
-0.010021303258145315,timeout,672,26242,1.995,2.012,short,LAZIOUSDT,baseline,2023-12-30 08:30:00+00:00
-0.051500000000000004,stop_loss,200,26641,1.867,1.96035,short,LAZIOUSDT,baseline,2024-01-03 12:15:00+00:00
-0.051500000000000004,stop_loss,614,26963,1.955,2.05275,short,LAZIOUSDT,baseline,2024-01-06 20:45:00+00:00
-0.051500000000000004,stop_loss,235,27122,1.88,1.974,short,LAZIOUSDT,baseline,2024-01-08 12:30:00+00:00
-0.051500000000000004,stop_loss,26,27699,2.09,2.1945,short,LAZIOUSDT,baseline,2024-01-14 12:45:00+00:00
-0.051500000000000004,stop_loss,68,27795,2.095,2.1997500000000003,short,LAZIOUSDT,baseline,2024-01-15 12:45:00+00:00
-0.051500000000000004,stop_loss,10,28035,2.422,2.5431000000000004,short,LAZIOUSDT,baseline,2024-01-18 00:45:00+00:00
-0.051500000000000004,stop_loss,55,28244,2.312,2.4276,short,LAZIOUSDT,baseline,2024-01-20 05:00:00+00:00
-0.051500000000000004,stop_loss,107,28386,2.398,2.5179,short,LAZIOUSDT,baseline,2024-01-21 16:30:00+00:00
-0.051500000000000004,stop_loss,63,28549,2.348,2.4654,short,LAZIOUSDT,baseline,2024-01-23 09:15:00+00:00
