direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,equity_at_entry,notional_usd,pnl_pct_net,pnl_usd,equity_after_exit,was_capped
long,0.02431706394248966,9,XRPUSDT,1692524700,1692532800,0.5286,0.541454,trail_stop,47832.384760828776,35874.28857062158,0.02311706394248966,829.3082227783851,48618.681722743415,False
short,0.02724371010138925,44,XRPUSDT,1692591300,1692630900,0.5326,0.51809,trail_stop,48576.026629823085,36432.019972367314,0.02604371010138925,948.8249665683575,47011.33519367279,False
short,0.048227848101265854,155,XLMUSDT,1692599400,1692738900,0.1264,0.12030400000000001,trail_stop,48801.04720330253,36600.7854024769,0.047027848101265854,1721.256176294712,49888.40981085827,False
short,0.010015965939329456,5,BCHUSDT,1692626400,1692630900,187.9,186.018,trail_stop,48801.04720330253,36600.7854024769,0.008815965939329456,322.6712774609431,47334.00647113373,False
short,0.005781637717121654,17,SHIBUSDT,1692630900,1692646200,8.06e-06,8.0134e-06,trail_stop,47334.00647113373,35500.5048533503,0.004581637717121654,162.65045201297008,47496.6569231467,False
short,-0.006840472959875953,27,SUIUSDT,1692663300,1692687600,0.5159,0.519429,trail_stop,47496.6569231467,35622.49269236002,-0.008040472959875953,-286.4216892562995,47210.2352338904,False
long,0.014288922155688579,20,SUIUSDT,1692693000,1692711000,0.5344,0.542036,trail_stop,47210.2352338904,35407.6764254178,0.01308892215568858,463.4483204461032,47673.68355433651,False
short,0.015136810602821727,23,CRVUSDT,1692701100,1692721800,0.4678,0.460719,trail_stop,47210.2352338904,35407.6764254178,0.013936810602821727,493.4700802270437,48167.153634563554,False
short,0.02492661448140896,15,SOLUSDT,1692725400,1692738900,20.44,19.930500000000002,trail_stop,48167.153634563554,36125.365225922666,0.02372661448140896,857.1326137155644,50745.54242457383,False
short,0.0,192,XLMUSDT,1692738900,1692911700,0.1203,0.1203,timeout,50745.54242457383,38059.156818430376,-0.0012,-45.670988182116446,55239.0266554345,False
