direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,-0.05499999999999997,6,BCHUSDT,1770336900,1770342300,434.8,458.714,0.0,stop_loss,,0.02,10.0,-0.05619999999999997,-0.5619999999999997
short,-0.054999999999999875,1,BLURUSDT,1770336900,1770337800,0.01757,0.018536349999999997,0.0,stop_loss,,0.02,10.0,-0.056199999999999875,-0.5619999999999987
short,-0.05499999999999998,1,AAVEUSDT,1770337800,1770338700,95.71,100.97404999999999,0.0,stop_loss,,0.02,10.0,-0.05619999999999998,-0.5619999999999998
short,-0.054999999999999945,16,ZECUSDT,1770546600,1770561000,234.24,247.1232,0.006702527322404463,stop_loss,,0.02,10.0,-0.056199999999999944,-0.5619999999999994
short,0.0,192,WIFUSDT,1770648300,1770821100,0.223,0.223,0.07623318385650231,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,WIFUSDT,1770734700,1770907500,0.216,0.216,0.06018518518518511,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,UNIUSDT,1770870600,1771043400,3.41,3.41,0.07859237536656898,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,FLOKIUSDT,1771160400,1771333200,3.245e-05,3.245e-05,0.03913713405238828,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,SUIUSDT,1771160400,1771333200,0.9783,0.9783,0.0314831851170397,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,WIFUSDT,1771160400,1771333200,0.234,0.234,0.03846153846153849,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,ZECUSDT,1771200900,1771373700,306.32,306.32,0.09179942543745105,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.05499999999999992,95,ORDIUSDT,1771561800,1771647300,2.526,2.6649299999999996,0.02296120348376874,stop_loss,,0.02,10.0,-0.05619999999999992,-0.5619999999999992
short,-0.05499999999999991,32,WIFUSDT,1771810200,1771839000,0.199,0.209945,0.0,stop_loss,,0.02,10.0,-0.05619999999999991,-0.5619999999999991
short,-0.05499999999999988,181,HIGHUSDT,1771868700,1772031600,0.14,0.1477,0.028571428571428595,stop_loss,,0.02,10.0,-0.05619999999999988,-0.5619999999999988
short,0.0,192,WIFUSDT,1772232300,1772405100,0.203,0.203,0.10837438423645329,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,ARBUSDT,1772727300,1772900100,0.1016,0.1016,0.04822834645669293,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,WIFUSDT,1772889300,1773062100,0.179,0.179,0.03351955307262573,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.05499999999999992,161,PEPEUSDT,1772938800,1773083700,3.19e-06,3.3654499999999997e-06,0.021943573667711522,stop_loss,,0.02,10.0,-0.05619999999999992,-0.5619999999999992
short,0.0,192,WIFUSDT,1773100800,1773273600,0.171,0.171,0.058479532163742735,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.05499999999999995,32,FILUSDT,1773202500,1773231300,0.85,0.8967499999999999,0.001176470588235295,stop_loss,,0.02,10.0,-0.05619999999999995,-0.5619999999999995
short,-0.05499999999999999,181,WIFUSDT,1773468900,1773631800,0.165,0.174075,0.012121212121212132,stop_loss,,0.02,10.0,-0.05619999999999999,-0.5619999999999999
short,-0.05499999999999987,39,ZECUSDT,1773793800,1773828900,269.86,284.7023,0.0,stop_loss,,0.02,10.0,-0.05619999999999987,-0.5619999999999987
short,0.0,192,WIFUSDT,1773837900,1774010700,0.178,0.178,0.04494382022471899,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,ZECUSDT,1773925200,1774098000,239.04,239.04,0.04396753681392232,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.05499999999999998,65,WIFUSDT,1774205100,1774263600,0.172,0.18145999999999998,0.029069767441860333,stop_loss,,0.02,10.0,-0.05619999999999998,-0.5619999999999998
short,0.0,192,SEIUSDT,1774608300,1774781100,0.0561,0.0561,0.0516934046345811,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
