direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
short,0.006016966687357622,56,GALAUSDT,1734343200,1734393600,0.04833,0.048039200000000004,trail_stop,25.0,0.004816966687357622,0.12042416718394056
short,-0.054999999999999986,26,XLMUSDT,1734343200,1734366600,0.4142,0.436981,stop_loss,25.0,-0.056199999999999986,-1.4049999999999996
short,-0.055,54,NEARUSDT,1734393600,1734442200,6.616,6.97988,stop_loss,25.0,-0.0562,-1.405
short,0.05986070381231681,79,APTUSDT,1734447600,1734518700,13.64,12.8235,trail_stop,25.0,0.05866070381231681,1.4665175953079204
short,-0.00825498927923482,42,AAVEUSDT,1734449400,1734487200,363.78,366.783,trail_stop,25.0,-0.00945498927923482,-0.2363747319808705
short,0.02964365256124719,42,HIGHUSDT,1734474600,1734512400,1.796,1.74276,trail_stop,25.0,0.02844365256124719,0.7110913140311798
short,0.020023405500292468,22,ORDIUSDT,1734475500,1734495300,34.18,33.4956,trail_stop,25.0,0.01882340550029247,0.47058513750731173
short,0.007695876288659813,78,STRKUSDT,1734475500,1734545700,0.582,0.577521,trail_stop,25.0,0.006495876288659813,0.16239690721649533
short,0.03276387377584315,64,TRXUSDT,1734494400,1734552000,0.2757,0.26666700000000004,trail_stop,25.0,0.03156387377584315,0.7890968443960789
short,-0.0029722902435879942,28,DOGEUSDT,1734495300,1734520500,0.38795,0.3891031,trail_stop,25.0,-0.004172290243587994,-0.10430725608969985
short,0.06122667810422479,30,ARBUSDT,1734525000,1734552000,0.9326,0.8755,trail_stop,25.0,0.06002667810422479,1.5006669526056198
short,0.0537066402378592,30,CHZUSDT,1734525000,1734552000,0.1009,0.09548100000000001,trail_stop,25.0,0.0525066402378592,1.3126660059464799
short,-0.0002806324110672769,29,WIFUSDT,1734525000,1734551100,2.53,2.53071,trail_stop,25.0,-0.0014806324110672767,-0.03701581027668192
short,0.07100168705187672,4,AVAXUSDT,1734548400,1734552000,47.42,44.05310000000001,trail_stop,25.0,0.06980168705187671,1.7450421762969177
short,0.06876575528408001,1,CRVUSDT,1734551100,1734552000,1.0314,0.960475,trail_stop,25.0,0.06756575528408,1.689143882102
